Quan_huyen,Loai_hinh,Dien_tich,Tong_so_tang,Tang_phong,Thang_may,Noi_that,Ban_cong_Cua_so,Khu_bep,Ve_sinh,May_giat,Vi_tri_ngo,Cho_nuoi_pet,Gia_dien,Khoang_cach_TT,Gia_phong
Hà Đông,1N1K (1 Khách 1 Ngủ),56,3,2,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Không có máy giặt,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,Giá dân,861,14660370
Hai Bà Trưng,Chung cư mini,30,4,3,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,3500,8062,7093438
Thanh Xuân,Chung cư mini,18,7,2,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,3800,9653,9299877
Thanh Xuân,Homestay (Sleepbox),5,5,3,Không,Nhà trống,Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,3500,9923,1138339
Long Biên,Căn hộ dịch vụ (Studio),44,7,6,Có,Nhà trống,Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,4000,7326,11747028
Tây Hồ,1N1K (1 Khách 1 Ngủ),57,6,5,Có,Nhà trống,Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cấm nuôi Pet,4000,6184,16669892
Gia Lâm,Chung cư mini,23,3,3,Không,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Không có máy giặt,Xe máy tránh nhau,Cho nuôi Pet,3800,6966,5022452
Thanh Xuân,Chung cư mini,18,5,1,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Ban công rộng thoáng,Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Không có máy giặt,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,4000,6844,6332783
Gia Lâm,Chung cư mini,25,8,2,Có,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,3800,3476,3676164
Bắc Từ Liêm,Trọ thường,32,3,1,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cấm nuôi Pet,3500,7958,7077873
Long Biên,Căn hộ dịch vụ (Studio),45,7,3,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cấm nuôi Pet,3800,6562,4712100
Long Biên,Căn hộ dịch vụ (Studio),25,5,4,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Không có máy giặt,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,Giá dân,10667,3697036
Ba Đình,Căn hộ dịch vụ (Studio),45,6,1,Có,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3800,8150,19059701
Long Biên,Chung cư mini,34,5,1,Không,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3800,8869,11025241
Long Biên,Căn hộ dịch vụ (Studio),32,5,5,Không,"Full đồ Luxury (Smart TV, Sofa...)",Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,Giá dân,3575,11850357
Thanh Xuân,Chung cư mini,21,6,6,Không,Nhà trống,Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Không có máy giặt,Ba gác tránh/Ngõ nông,Cho nuôi Pet,Giá dân,7924,4869185
Thanh Xuân,Căn hộ dịch vụ (Studio),28,9,9,Có,Đồ cũ/Thiếu đồ,Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,4000,9747,9748024
Long Biên,Trọ thường,32,9,2,Có,Nhà trống,Ban công rộng thoáng,Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,3500,8066,6526090
Bắc Từ Liêm,Trọ thường,15,7,7,Có,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Không có máy giặt,Ba gác tránh/Ngõ nông,Cho nuôi Pet,4000,6110,2944433
Hoàng Mai,Căn hộ dịch vụ (Studio),30,5,3,Không,Nhà trống,Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,3800,10664,7058033
Nam Từ Liêm,Homestay (Sleepbox),10,9,9,Có,"Full đồ Luxury (Smart TV, Sofa...)",Ban công rộng thoáng,Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cấm nuôi Pet,Giá dân,5879,2575033
Thanh Xuân,Homestay (Sleepbox),5,3,2,Không,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cho nuôi Pet,3800,1347,1773370
Thanh Xuân,Căn hộ dịch vụ (Studio),26,4,3,Không,Nhà trống,Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3500,7347,6940292
Hoàng Mai,1N1K (1 Khách 1 Ngủ),50,6,3,Có,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,4000,6910,15343465
Hai Bà Trưng,Homestay (Sleepbox),7,7,2,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Không có máy giặt,Xe máy tránh nhau,Cho nuôi Pet,3500,1701,1481754
Hà Đông,Homestay (Sleepbox),10,6,1,Không,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cho nuôi Pet,3800,10303,1000000
Tây Hồ,1N1K (1 Khách 1 Ngủ),60,5,3,Không,Nhà trống,Ban công rộng thoáng,Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,4000,5120,15105717
Hà Đông,Căn hộ dịch vụ (Studio),32,6,5,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3500,11597,12559246
Thanh Xuân,Căn hộ dịch vụ (Studio),38,9,5,Không,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,3800,8269,6911308
Cầu Giấy,Trọ thường,15,8,8,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3500,3368,5046287
Hoàng Mai,Trọ thường,33,8,5,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,3800,5251,3571585
Cầu Giấy,Chung cư mini,16,4,3,Không,Nhà trống,Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cho nuôi Pet,3500,1286,4388920
Hai Bà Trưng,Chung cư mini,27,3,1,Không,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Không có máy giặt,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,4000,8144,5252271
Nam Từ Liêm,1N1K (1 Khách 1 Ngủ),55,3,2,Không,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,Giá dân,10740,13992983
Hai Bà Trưng,1N1K (1 Khách 1 Ngủ),56,3,3,Không,Nhà trống,Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Không có máy giặt,Ba gác tránh/Ngõ nông,Cho nuôi Pet,4000,9979,8887261
Hoàng Mai,Homestay (Sleepbox),10,3,2,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cấm nuôi Pet,3500,3577,1701551
Long Biên,Homestay (Sleepbox),6,7,1,Không,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,4000,6024,1545813
Long Biên,Chung cư mini,33,9,2,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cấm nuôi Pet,4000,3911,5711640
Hà Đông,Căn hộ dịch vụ (Studio),34,9,7,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Không có máy giặt,Xe máy tránh nhau,Cho nuôi Pet,3800,10082,5342587
Ba Đình,Homestay (Sleepbox),10,3,2,Không,Đồ cũ/Thiếu đồ,Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,4000,1784,1000000
Hoàng Mai,Chung cư mini,29,7,1,Có,Đồ cũ/Thiếu đồ,Không cửa sổ (Phòng hộp),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,3800,8197,5756812
Hoàn Kiếm,Căn hộ dịch vụ (Studio),26,4,2,Không,"Full đồ Luxury (Smart TV, Sofa...)",Ban công rộng thoáng,Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,Giá dân,6572,15904751
Nam Từ Liêm,Chung cư mini,20,9,4,Có,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3800,3253,7435193
Đống Đa,Căn hộ dịch vụ (Studio),41,3,1,Không,Nhà trống,Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,3800,1368,15573616
Hà Đông,Homestay (Sleepbox),5,9,8,Không,Đồ cũ/Thiếu đồ,Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cho nuôi Pet,4000,11848,1000000
Hoàng Mai,Trọ thường,21,4,2,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Không có máy giặt,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,3500,10614,2227126
Nam Từ Liêm,Chung cư mini,24,4,4,Không,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cho nuôi Pet,4000,11195,6218317
Hoàn Kiếm,Chung cư mini,29,4,2,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,Giá dân,11078,18082197
Bắc Từ Liêm,1N1K (1 Khách 1 Ngủ),46,4,3,Không,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cho nuôi Pet,4000,9096,14259619
Hoàng Mai,Homestay (Sleepbox),8,9,4,Không,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Cơ bản),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,4000,11974,1000000
Tây Hồ,1N1K (1 Khách 1 Ngủ),53,3,3,Không,"Full đồ Luxury (Smart TV, Sofa...)",Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cho nuôi Pet,4000,4384,23601594
Hai Bà Trưng,Chung cư mini,33,3,3,Không,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cho nuôi Pet,Giá dân,5950,11102703
Thanh Xuân,1N1K (1 Khách 1 Ngủ),56,7,4,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,Giá dân,7088,20756381
Thanh Xuân,Căn hộ dịch vụ (Studio),31,4,3,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cấm nuôi Pet,3500,9571,9541869
Long Biên,Trọ thường,20,4,3,Không,Nhà trống,Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cho nuôi Pet,4000,7137,2449470
Long Biên,Trọ thường,21,4,2,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cho nuôi Pet,4000,2519,3879850
Cầu Giấy,1N1K (1 Khách 1 Ngủ),38,9,2,Có,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,Giá dân,6320,11539922
Gia Lâm,Căn hộ dịch vụ (Studio),32,5,1,Không,Nhà trống,Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cấm nuôi Pet,Giá dân,10149,2404453
Gia Lâm,Trọ thường,15,4,4,Không,Đồ cũ/Thiếu đồ,Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,Giá dân,4522,1000000
